garment_name,price,url
Boys Born in 2021 Baby Grow (Tiny Baby-6mths),£6.00,https://www.matalan.co.uk/product/detail/s2821977_c128/boys-born-in-2021-baby-grow-tiny-baby-6mths-blue
Boys 2 Pack Dinosaur Baby Grows (Tiny Baby-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2807480_c128/boys-2-pack-dinosaur-baby-grows-tiny-baby-23mths-multi
Girls Spot Print Jersey Dress (Tiny Baby-23mths),£2.50,https://www.matalan.co.uk/product/detail/s2812223_c08d/girls-spot-print-jersey-dress-tiny-baby-23mths-ochre
Girls 2 Pack Jogger Leggings (Tiny Baby-23mths),£4.00,https://www.matalan.co.uk/product/detail/s2782462_c323/girls-2-pack-jogger-leggings-tiny-baby-23mths-pink
Unisex 2 Pack Mummy & Daddy Baby Grows (Tiny Baby-18mths),£6.00,https://www.matalan.co.uk/product/detail/s2807703_c359/unisex-2-pack-mummy-daddy-baby-grows-tiny-baby-23mths-white
Stripe Knitted Baby Blanket (90cm x 70cm),£10.00,https://www.matalan.co.uk/product/detail/s2788566_c000/stripe-knitted-baby-blanket-grey
Girls 2 Pack Ribbed Tights (Newborn-23mths),£4.00,https://www.matalan.co.uk/product/detail/s2799798_c438/girls-2-pack-ribbed-tights-multi
Unisex Stripe Romper & T-Shirt Set (Tiny Baby-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2821400_c47q/unisex-stripe-romper-t-shirt-set-tiny-baby-23mths-blue
Boys Knitted Shawl Neck Cardigan (Newborn-23mths),£8.00,https://www.matalan.co.uk/product/detail/s2782535_c228/boys-knitted-shawl-neck-cardigan-newborn-23mths-grey
Unisex 3D Ears Knitted Cardigan (Newborn-18mths),£10.00,https://www.matalan.co.uk/product/detail/s2816332_c359/unisex-3d-ears-knitted-cardigan-newborn-18mths-white
Unisex Hello Word Baby Grow (Newborn-18mths),£7.00,https://www.matalan.co.uk/product/detail/s2786091_c359/hello-word-baby-grow-newborn-18mths-white
Girls 2 Pack Frill Tights (Newborn-23mths),£5.50,https://www.matalan.co.uk/product/detail/s2799804_c438/girls-2-pack-frill-tights-newborn-23mths-cream
Unisex 4 Pack Ribbed Baby Socks (Newborn-12mths),£3.00,https://www.matalan.co.uk/product/detail/s2810089_c228/unisex-4-pack-ribbed-baby-socks-newborn-12mths-multi
Girls 2 Pack Rainbow Print Baby Grows (Tiny Baby-23mths),£6.00,https://www.matalan.co.uk/product/detail/s2807698_c323/girls-2-pack-rainbow-print-baby-grows-tiny-baby-23mths-pink
Boys Knitted Shawl Neck Cardigan (Newborn-23mths),£8.00,https://www.matalan.co.uk/product/detail/s2782534_c270/boys-knitted-shawl-neck-cardigan-newborn-23mths-navy
2 Pack Dinosaur Bibs (One Size),£3.00,https://www.matalan.co.uk/product/detail/s2810801_c128/2-pack-dinosaur-bibs-one-size-blue
Unisex 2 Pack Safari Stripe Baby Grows (Tiny Baby-18mths),£6.00,https://www.matalan.co.uk/product/detail/s2807702_c359/unisex-2-pack-safari-stripe-baby-grows-tiny-baby-23mths-white
